id,name,symbol,gecko_id,cmcId,address,pegType,pegMechanism,description,mintRedeemDescription,price,priceSource,circulating_peggedUSD,chains,onCoinGecko,R_ExtractDate
27,USDK,USDK,usdk,4064,0x1c48f86ae57291f7686349f12601910bd8d470bb,peggedUSD,fiat-backed,"USDK is a USD-pegged stablecoin, jointly launched by OKLink and Prime Trust, an American Trust company.",OKLink customers who have undergone a verification process can exchange USD for USDK and redeem USDK for USD.,0.99969009,chainlink,42478711.0,"['Ethereum', 'OKExChain', 'Solana', 'Polygon']",true,2022-07-24
28,Vai,VAI,vai,7824,bsc:0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,peggedUSD,crypto-backed,Vai is Venus Protocol's decentralized synthetic stablecoin that is pegged to USD.,"VAI is minted by supplying and locking a single or basket of cryptocurrencies. VAI is exchangeable to all supporting assets, including USD, which can be redeemed directly to your bank account in the Swipe Wallet platform for verified users.",0.93931439,chainlink,21281349.033990804,['BSC'],true,2022-07-24
29,TOR,TOR,tor,18105,fantom:0x74e23df9110aa9ea0b6ff2faee01e740ca1c642e,peggedUSD,crypto-backed,TOR is a fully collateralized stablecoin built on the Fantom Opera Chain.,"Using the Hector Finance app, users swap DAI to mint TOR 1:1. TOR can be redeemed for DAI 1:1 at any time.",0.9991828272963645,curve,17070482.490329992,['Fantom'],true,2022-07-24
30,Dollar on Chain,DOC,doc,7558,rsk:0xe700691dA7b9851F2F35f8b8182c69c53CcaD9Db,peggedUSD,crypto-backed,Dollar on Chain an over-collateralized USD-pegged stablecoin backed by rBTC on the RSK Blockchain.,"Using the Money On Chain app, users mint DoC by depositing rBTC into a vault. When the loan is repaid to retrieve the collateral, the paid back DoC is burned.",,,5163130.156815936,"['RSK', 'Ethereum']",False,2022-07-24
31,SpiceUSD,USDS,spiceusd,20306,avax:0xab05b04743e0aeaf9d2ca81e5d3b8385e4bf961e,peggedUSD,algorithmic,Spice USD (Ticker USDS) is a stablecoin soft-pegged to USD in the Spice Protocol on Avalanche.,"Using the Spice Trade app, USDS can be minted by locking USDC and burning SPICE in a proportion determined by the protocol's collateral ratio.",0.9945054438802554,curve,17832150.28489267,"['Avalanche', 'BSC', 'Polygon', 'Ethereum']",true,2022-07-24
32,Sperax USD,USDS,sperax-usd,17285,arbitrum:0xd74f5255d557944cf7dd0e45ff521520002d5748,peggedUSD,algorithmic,Sperax USD (USDs) is a USD-pegged stablecoin that is primarily backed by crypto collateral which generates organic yield for its holders.,"Using the Sperax app, USDs can be minted by locking USDC or USDT and burning SPA in a proportion determined by the protocol's collateral ratio.",0.9979,dexscreener,6430767.90963633,['Arbitrum'],true,2022-07-24
33,USDP Stablecoin,USDP,usdp,8886,0x1456688345527be1f37e9e627da0837d6f08c925,peggedUSD,crypto-backed,"USDP is a decentralized, unbiased, and fully-backed stablecoin whose value is soft-pegged to US Dollar. USDP runs on the Ethereum, BSC, and Fantom networks.","Using the Unit Protocol app, users mint USDP by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back USDP is burned.",1.0001285487624774,curve,4536003.34498929,"['Ethereum', 'BSC', 'Gnosis', 'Fantom']",true,2022-07-24
34,USD Balance,USDB,usd-balance,19224,fantom:0x6fc9383486c163fa48becdec79d6058f984f62ca,peggedUSD,algorithmic,USDB is an algorithmic stablecoin that powers the FantOHM OHM fork.,"Using the USD Balance app, $1 worth of FHM can be burned to mint 1 USDB.",1.0,dexscreener,2517384.4719561655,['Fantom'],true,2022-07-24
35,MAI,MAI,mimatic,10238,polygon:0xa3fa99a148fa48d14ed51d610c367c61876997f1,peggedUSD,crypto-backed,MAI is a USD-pegged stablecoin backed by collateral available on many chains.,"Using the Mai Finance app, users mint MAI by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back MAI is burned.",0.9949010335135695,curve,59216257.770156235,"['Polygon', 'Fantom', 'Optimism', 'Moonriver', 'Avalanche', 'Solana', 'BSC', 'Harmony', 'Gnosis', 'Cronos', 'Arbitrum', 'IoTeX', 'Aurora', 'Milkomeda', 'Metis', 'Celo']",true,2022-07-24
36,Ratio Stable Coin,USDR,ratio-stable-coin,,solana:USDrbBQwQbQ2oWHUPfA8QBHcyVxKUq1xHyXsSLKdUq2,peggedUSD,crypto-backed,"USDr is an algorithmically risk-adjusted Collateralized Debt Position. Users can mint USDr using stable yield-bearing assets, starting with stablecoin LP from Saber.",USDr is minted by depositing an accepted collateral asset into Ratio Finance. The collateral is used to generate yield that pays down the USDr debt. Any USDr used to repay the loan to retrieve the collateral is burned.,1.0,birdeye,2661154.681351,['Solana'],true,2022-07-24
37,USDJ,USDJ,just-stablecoin,5446,tron:TMwFHYXLJaRUPeW6421aqXL4ZEzPRFGkGT,peggedUSD,crypto-backed,USDJ is a fully collateral-backed USD-pegged stablecoin on Tron.,"Using the JustStable app, users mint USDJ by depositing TRX into a vault. When the loan is repaid to retrieve the collateral, the paid back USDJ is burned.",1.002,coingecko,14879596.239640895,['Tron'],true,2022-07-24
38,STBL,STBL,stbl,,algorand:465865291,peggedUSD,crypto-backed,STBL is an algorithmic over-collateralized stablecoin that is native to the Algofi protocol.,"Using the Algofi app, users mint STBL by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back STBL is burned.",,,8577159.421533,['Algorand'],False,2022-07-24
39,VOLT Protocol,VOLT,volt-protocol,,0x559ebc30b0e58a45cc9ff573f77ef1e5eb1b3e18,peggedVAR,algorithmic,VOLT is a stablecoin that uses a custom oracle system to stay pegged to the purchasing power of the US Dollar.,"Using the Volt Protocol app, users swap FEI or USDC to mint VOLT at the current exchange rate. VOLT can be redeemed for FEI or USDC at any time.",1.004,coingecko,,"['Ethereum', 'Arbitrum']",true,2022-07-24
40,Rai Reflex Index,RAI,rai,8525,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,peggedVAR,crypto-backed,"RAI is a collateralized, non-pegged asset with low volatility compared to its ETH collateral.","Users mint RAI by depositing ETH as collateral into Rai safes. When the loan is repaid to retrieve the collateral, the paid back RAI is burned.",2.935575,chainlink,,"['Ethereum', 'Polygon', 'Loopring', 'Optimism', 'Arbitrum', 'Gnosis', 'Avalanche']",true,2022-07-24
41,Float Protocol Float,FLOAT,float-protocol-float,9861,0xb05097849bca421a3f51b249ba6cca4af4b97cb9,peggedVAR,algorithmic,FLOAT is a stablecoin that tracks a basket of crypto assets instead of trying to exactly match the price of a dollar.,"If the price of FLOAT is away from its target price, the supply is changed by minting (expansion) or buying up and burning FLOAT (contraction). This is done through a dutch auction (in an expansion) and a reverse dutch auction (in a contraction), respectively.",1.19,dexscreener,,['Ethereum'],true,2022-07-24
42,USDX,USDX,usdx,6651,,peggedUSD,crypto-backed,USDX is the crypto-backed native stablecoin of the Kava DeFi hub.,"Using the Kava app, users mint USDX by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back USDX is burned.",0.975799,coingecko,113080160.0,['Kava'],true,2022-07-24
43,ZUSD,ZUSD,zusd,8772,0xc56c2b7e71b54d38aab6d52e94a04cbfa8f604fa,peggedUSD,fiat-backed,ZUSD is a 100% fiat-backed USD-pegged stablecoin on Ethereum that is always redeemable 1:1.,GMO-Z.com Trust Company customers who have undergone a verification process can exchange USD for ZUSD and redeem ZUSD for USD.,,,1382914.151951,['Ethereum'],true,2022-07-24
44,dForce USD,USX,token-dforce-usd,13080,0x0a5E677a6A24b2F1A2Bf4F3bFfC443231d2fDEc8,peggedUSD,crypto-backed,"USX is a USD-pegged stablecoin by dForce with a dual model for minting - USX can be minted through Vault (single collateral & risk-isolated), or via borrowing from supported lending protocols (pool-based & multi-collateral & market-driven rates) directly.","Using the dForce Network app, users mint USX by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back USX is burned. Users can borrow USX from whitelisted lending protocols which have had their USX liquidity issued algorithmically.",0.996947415525484,curve,140882997.2235481,"['Ethereum', 'BSC', 'Arbitrum', 'Polygon', 'Optimism', 'Kava', 'Avalanche']",true,2022-07-24
45,Acala Dollar,AUSD,acala-dollar,20411,,peggedUSD,crypto-backed,aUSD is the native decentralized stablecoin of Polkadot pegged to the US Dollar and backed only by decentralized assets in Collateralized Debt Positions (CDP).,"Using the Acala app, users mint aUSD by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back aUSD is burned.",,,8784879.240930999,"['Acala', 'Karura']",true,2022-07-24
46,USD+,USD+,usd,20317,polygon:0x236eec6359fb44cce8f97e99387aa7f8cd5cde1f,peggedUSD,crypto-backed,USD+ is USDC that pays yield daily via rebase. The USD+ stablecoin can be instantly minted and redeemed to USDC 1:1.,"Using the Overnight app, users swap USDC to mint USD+ 1:1. USD+ can be redeemed for USDC 1:1 at any time.",1.002,coingecko,3587670.671199,['Polygon'],true,2022-07-24
47,DEI,DEI,dei-token,12517,fantom:0xde12c7959e1a72bbe8a5f7a1dc8f8eef9ab011b3,peggedUSD,algorithmic,DEI is a fractional reserve USD-pegged stablecoin and is the unit of account for all trading within the DEUS Finance ecosystem.,"Using the Deus Finance app, DEI can be minted by locking USDC and burning DEUS in a proportion determined by the protocol's collateral ratio.",0.19924073117735408,curve,13730719.488577634,"['Fantom', 'Polygon', 'Ethereum', 'BSC', 'Metis']",true,2022-07-24
48,BAI Stablecoin,BAI,bai-stablecoin,,astar:0x733ebcc6df85f8266349defd0980f8ced9b45f35,peggedUSD,crypto-backed,"AstridDAO is a decentralized borrowing protocol on Astar that allows you to draw interest-free loans against multiple collateral assets (e.g. ASTR, ETH, BTC, and etc.). Loans are paid out in BAI (a USD pegged stablecoin).","Using the AstridDAO app, users mint BAI by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back BAI is burned.",1.0,dexscreener,4261499.84142065,['Astar'],true,2022-07-24
49,Euro Tether,EURT,tether-eurt,10789,0xc581b735a1688071a1746c968e0798d642ede491,peggedEUR,fiat-backed,"Launched in 2014, Tether tokens pioneered the stablecoin model. Tether tokens are pegged to real-world currencies on a 1-to-1 basis. This offers traders, merchants and funds a low volatility solution when exiting positions in the market.",Tether customers who have undergone a verification process can exchange EUR for EURT and redeem EURT for EUR.,1.01908445,chainlink,,"['Ethereum', 'Polygon', 'Omni']",true,2022-07-24
50,Euro Coin,EUROC,euro-coin,20641,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,peggedEUR,fiat-backed,Euro Coin (EUROC) is issued by Circle under the same full-reserve model as USD Coin (USDC). Euro Coin is 100% backed by euros held in euro-denominated banking accounts so that it's always redeemable 1:1 for euros.,An eligible business can exchange EUR for EUROC and redeem EUROC for EUR through a Circle Account.,,,,['Ethereum'],true,2022-07-24
51,Stasis Euro,EURS,stasis-eurs,2989,0xdb25f211ab05b1c97d595516f45794528a807ad8,peggedEUR,fiat-backed,"EURS, an ERC/EIP20 token, is a euro-backed digital asset.",Stasis customers who have undergone a verification process can exchange EUR for EURS and redeem EURS for EUR.,1.0273975065678953,curve,,"['Ethereum', 'Polygon', 'Algorand', 'Gnosis']",true,2022-07-24
52,Celo Euro,CEUR,celo-euro,9467,celo:0xd8763cba276a3738e6de85b4b3bf5fded6d6ca73,peggedEUR,algorithmic,"Celo Euros (cEUR) are stablecoins that follow the Euro and are native to the Celo blockchain's Reserve system. The Celo Reserve is a system of smart contracts that uses a portfolio of cryptocurrencies to expand and contract the supply cEUR, similar to MakerDAO's lending protocol.","Using the Mento app, 1 Euro worth of CELO can be sent to the CELO reserve to mint 1 cEUR, and 1 cEUR can be burned to receive 1 Euro worth of CELO.",1.0199,kucoin,,"['Celo', 'Solana', 'Polygon', 'Ethereum']",true,2022-07-24
53,sEUR,SEUR,seur,10419,0xd71ecff9342a5ced620049e616c5035f1db98620,peggedEUR,crypto-backed,Synthetix is a protocol for issuing and trading synthetic assets on Ethereum. Each synthetic asset (or Synth) is an ERC20 token which tracks the price of an external asset; for example each sEUR token tracks the price of the Euro.,An SNX holder can mint sEUR by locking their SNX as collateral via the Synthetix smart contract. sEUR can be burned to swap to another synthetic asset or to repay the debt to retrieve the collateral.,1.0349360805787506,curve,,"['Ethereum', 'Optimism']",true,2022-07-24
54,USN,USN,usn,19682,,peggedUSD,algorithmic,USN is a NEAR-native stablecoin.,"Using the Decentral Bank app, users swap USDT to mint USN 1:1. USN can be redeemed for USDT 1:1 at any time.",1.0,coingecko,127484697.88855428,"['Near', 'Aurora']",true,2022-07-24
55,agEUR,AGEUR,ageur,15024,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,peggedEUR,crypto-backed,"Angle Protocol aims at creating a sustainable money layer for blockchains. It is currently issuing agEUR, the most liquid Euro stablecoin on Ethereum and other chains.","Using the Angle app, users mint agEUR by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back agEUR is burned.",1.01933371805647,curve,,"['Ethereum', 'Polygon', 'Solana', 'Fantom', 'Fuse', 'zkSync', 'Aurora']",true,2022-07-24
56,Parallel,PAR,par-stablecoin,8665,0x68037790a0229e9ce6eaa8a99ea92964106c4703,peggedEUR,crypto-backed,The PAR token is a price-stable token pegged to the Euro. Users generate PAR by depositing collateral assets into MIMO vaults within the MIMO protocol.,"Using the MIMO app, users mint PAR by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back PAR is burned.",1.01,dexscreener,,"['Ethereum', 'Polygon', 'Fantom']",true,2022-07-24
57,Hedge USD,USH,hedge-usd,,solana:9iLH8T7zoWhY7sBmj1WK9ENbWdS1nL8n9wAxaeRitTa6,peggedUSD,crypto-backed,"Hedge is a protocol that enables the minting of USH, a stablecoin soft-pegged to the US dollar. USH is minted on flexible terms and gives users instant access to the USH ecosystem.","Using the Hedge app, users mint USH by depositing an accepted collateral asset into a vault. When the loan is repaid to retrieve the collateral, the paid back USH is burned.",1.001834194513134,birdeye,6310145.482332322,['Solana'],true,2022-07-24
58,3USD,3USD,three-usd,,karura:9iLH8T7zoWhY7sBmj1WK9ENbWdS1nL8n9wAxaeRitTa6,peggedUSD,crypto-backed,"3pool on Karura made of aUSD, USDC, USDT is the first stablecoin pool powering the Kusama ecosystem. Liquidity providers will get 3USD token after adding liquidity.","Using the Karura app, users receive 3USD LP tokens by adding aUSD, USDC, or USDT liquidity. LP tokens can be redeemed for the underlying assets.",,,1571777.8992662232,['Karura'],false,2022-07-24
59,SigmaUSD,SIGUSD,sigmausd,,,peggedUSD,crypto-backed,SigmaUSD is a UTxO-based stable coin on the Ergo blockchain - an instantiation of the AgeUSD protocol.,"Using the SigmaUSD app, users swap ERG for the equivalent value of SigUSD. The SigUSD is backed by collateral ERG provided by Reserve Providers at a reserve ratio of 400% - 800%.",,,793938.83,['Ergo'],false,2022-07-24
